Rented Bike Count,Hour,Temperature(°C),Humidity(%),Rainfall(mm),Snowfall (cm),Seasons,Holiday
254,0,-5.2,37,0,0,Winter,No Holiday
204,1,-5.5,38,0,0,Winter,No Holiday
173,2,-6,39,0,0,Winter,No Holiday
107,3,-6.2,40,0,0,Winter,No Holiday
78,4,-6,36,0,0,Winter,No Holiday
100,5,-6.4,37,0,0,Winter,No Holiday
181,6,-6.6,35,0,0,Winter,No Holiday
460,7,-7.4,38,0,0,Winter,No Holiday
930,8,-7.6,37,0,0,Winter,No Holiday
490,9,-6.5,27,0,0,Winter,No Holiday
339,10,-3.5,24,0,0,Winter,No Holiday
360,11,-0.5,21,0,0,Winter,No Holiday
449,12,1.7,23,0,0,Winter,No Holiday
451,13,2.4,25,0,0,Winter,No Holiday
447,14,3,26,0,0,Winter,No Holiday
463,15,2.1,36,0,0,Winter,No Holiday
484,16,1.2,54,0,0,Winter,No Holiday
555,17,0.8,58,0,0,Winter,No Holiday
862,18,0.6,66,0,0,Winter,No Holiday
600,19,0,77,0,0,Winter,No Holiday
426,20,-0.3,79,0,0,Winter,No Holiday
405,21,-0.8,81,0,0,Winter,No Holiday
398,22,-0.9,83,0,0,Winter,No Holiday
323,23,-1.3,84,0,0,Winter,No Holiday
328,0,-1.8,87,0,0,Winter,No Holiday
308,1,-2.2,86,0,0,Winter,No Holiday
262,2,-2.9,86,0,0,Winter,No Holiday
167,3,-3.5,81,0,0,Winter,No Holiday
89,4,-3.8,79,0,0,Winter,No Holiday
79,5,-4,79,0,0,Winter,No Holiday
70,6,-4.3,82,0,0,Winter,No Holiday
146,7,-4.4,81,0,0,Winter,No Holiday
219,8,-4.2,79,0,0,Winter,No Holiday
328,9,-2.9,68,0,0,Winter,No Holiday
334,10,-0.4,57,0,0,Winter,No Holiday
388,11,1.9,49,0,0,Winter,No Holiday
479,12,4.3,41,0,0,Winter,No Holiday
606,13,6,36,0,0,Winter,No Holiday
611,14,7.3,35,0,0,Winter,No Holiday
589,15,7.6,41,0,0,Winter,No Holiday
618,16,6.4,48,0,0,Winter,No Holiday
572,17,6,51,0,0,Winter,No Holiday
489,18,5.5,53,0,0,Winter,No Holiday
385,19,5,52,0,0,Winter,No Holiday
359,20,4.6,51,0,0,Winter,No Holiday
377,21,4.1,55,0,0,Winter,No Holiday
354,22,3.5,54,0,0,Winter,No Holiday
366,23,4,56,0,0,Winter,No Holiday
342,0,4,58,0,0,Winter,No Holiday
227,1,3.9,69,0,0,Winter,No Holiday
228,2,3.3,79,0,0,Winter,No Holiday
117,3,3.4,71,0.5,0,Winter,No Holiday
76,4,3.5,73,0,0,Winter,No Holiday
32,5,3.9,75,0,0,Winter,No Holiday
13,6,3.4,86,1,0,Winter,No Holiday
22,7,3.1,91,0,0,Winter,No Holiday
85,8,3.2,92,0,0,Winter,No Holiday
152,9,3.5,91,2.5,0,Winter,No Holiday
200,10,4.4,89,0,0,Winter,No Holiday
273,11,5.1,87,0,0,Winter,No Holiday
333,12,5.8,85,0,0,Winter,No Holiday
495,13,6.8,81,0,0,Winter,No Holiday
563,14,7.6,76,0,0,Winter,No Holiday
621,15,8,73,0,0,Winter,No Holiday
598,16,7.6,77,0,0,Winter,No Holiday
545,17,6.7,82,0,0,Winter,No Holiday
443,18,6,84,0,0,Winter,No Holiday
422,19,5.7,85,0,0,Winter,No Holiday
397,20,5.2,87,0,0,Winter,No Holiday
385,21,4.7,87,0,0,Winter,No Holiday
350,22,4.3,89,0,0,Winter,No Holiday
303,23,3.9,90,0,0,Winter,No Holiday
285,0,4.2,88,0,0,Winter,No Holiday
186,1,4.3,87,0,0,Winter,No Holiday
112,2,4.4,87,0,0,Winter,No Holiday
65,3,3.6,85,0,0,Winter,No Holiday
41,4,2.8,89,0,0,Winter,No Holiday
82,5,2,83,0,0,Winter,No Holiday
200,6,1.2,76,0.1,0,Winter,No Holiday
498,7,0.2,68,0,0,Winter,No Holiday
937,8,-0.8,69,0,0,Winter,No Holiday
509,9,-1.5,47,0,0,Winter,No Holiday
311,10,-1.1,40,0,0,Winter,No Holiday
379,11,-0.5,41,0,0,Winter,No Holiday
393,12,-0.3,38,0,0,Winter,No Holiday
391,13,0,30,0,0,Winter,No Holiday
338,14,0.1,27,0,0,Winter,No Holiday
341,15,-0.1,25,0,0,Winter,No Holiday
375,16,-0.2,23,0,0,Winter,No Holiday
515,17,-1.3,26,0,0,Winter,No Holiday
807,18,-2.1,29,0,0,Winter,No Holiday
568,19,-2.9,32,0,0,Winter,No Holiday
398,20,-3.6,38,0,0,Winter,No Holiday
397,21,-4.6,43,0,0,Winter,No Holiday
353,22,-5.3,45,0,0,Winter,No Holiday
248,23,-5.8,44,0,0,Winter,No Holiday
216,0,-6.1,42,0,0,Winter,No Holiday
198,1,-6.5,41,0,0,Winter,No Holiday
124,2,-6.8,41,0,0,Winter,No Holiday
62,3,-6.9,39,0,0,Winter,No Holiday
42,4,-7.2,34,0,0,Winter,No Holiday
82,5,-7.4,33,0,0,Winter,No Holiday
172,6,-7.4,34,0,0,Winter,No Holiday
381,7,-7.5,33,0,0,Winter,No Holiday
812,8,-8.1,36,0,0,Winter,No Holiday
462,9,-7.6,31,0,0,Winter,No Holiday
269,10,-5.5,26,0,0,Winter,No Holiday
334,11,-3.9,25,0,0,Winter,No Holiday
321,12,-2.3,25,0,0,Winter,No Holiday
325,13,-1.6,27,0,0,Winter,No Holiday
334,14,-1.1,28,0,0,Winter,No Holiday
353,15,-0.7,28,0,0,Winter,No Holiday
435,16,-0.5,30,0,0,Winter,No Holiday
529,17,-1.6,35,0,0,Winter,No Holiday
789,18,-2.6,40,0,0,Winter,No Holiday
597,19,-3.2,45,0,0,Winter,No Holiday
418,20,-3.5,46,0,0,Winter,No Holiday
415,21,-3.7,47,0,0,Winter,No Holiday
393,22,-2.8,49,0,0,Winter,No Holiday
244,23,-2.5,59,0,0,Winter,No Holiday
145,0,-2.8,77,0.1,0.1,Winter,No Holiday
144,1,-3,79,0,0.3,Winter,No Holiday
117,2,-3,79,0,0.4,Winter,No Holiday
78,3,-3.2,78,0.2,0.4,Winter,No Holiday
58,4,-3.4,75,0,0.4,Winter,No Holiday
87,5,-3.6,76,0,0.4,Winter,No Holiday
142,6,-3.7,76,0,0.4,Winter,No Holiday
379,7,-4.2,77,0,0.3,Winter,No Holiday
802,8,-4.2,78,0,0.2,Winter,No Holiday
440,9,-3.3,70,0,0.2,Winter,No Holiday
307,10,-0.9,64,0,0.2,Winter,No Holiday
381,11,1.6,57,0,0,Winter,No Holiday
405,12,2.4,52,0,0,Winter,No Holiday
442,13,4.2,47,0,0,Winter,No Holiday
416,14,5.5,34,0,0,Winter,No Holiday
412,15,5.5,31,0,0,Winter,No Holiday
496,16,5.3,37,0,0,Winter,No Holiday
239,17,4.1,60,0,0,Winter,No Holiday
204,18,1.7,90,0.3,0.3,Winter,No Holiday
205,19,1.2,92,0,1,Winter,No Holiday
190,20,1.2,94,0,1,Winter,No Holiday
165,21,1.1,92,0.7,1,Winter,No Holiday
222,22,1.3,92,0,1,Winter,No Holiday
193,23,1.3,92,0,1,Winter,No Holiday
198,0,1.4,92,0,0.9,Winter,No Holiday
218,1,1.5,92,0,0.9,Winter,No Holiday
149,2,1.4,92,0,0.9,Winter,No Holiday
102,3,1.9,91,0,0.9,Winter,No Holiday
62,4,1.6,92,0,0.9,Winter,No Holiday
83,5,1.5,92,0,0.9,Winter,No Holiday
137,6,1,93,0,0.9,Winter,No Holiday
367,7,0.3,93,0,0.9,Winter,No Holiday
754,8,-0.2,96,0,0.8,Winter,No Holiday
415,9,0.1,91,0,0.8,Winter,No Holiday
321,10,1.1,83,0,0.7,Winter,No Holiday
333,11,2.3,69,0,0.6,Winter,No Holiday
431,12,3.7,65,0,0.3,Winter,No Holiday
394,13,4.1,37,0,0,Winter,No Holiday
390,14,4.4,36,0,0,Winter,No Holiday
430,15,4,35,0,0,Winter,No Holiday
471,16,3.2,38,0,0,Winter,No Holiday
552,17,2.1,50,0,0,Winter,No Holiday
795,18,0.7,46,0,0,Winter,No Holiday
507,19,-0.4,47,0,0,Winter,No Holiday
390,20,-1.4,47,0,0,Winter,No Holiday
402,21,-2.2,46,0,0,Winter,No Holiday
389,22,-2.7,48,0,0,Winter,No Holiday
259,23,-3.2,50,0,0,Winter,No Holiday
233,0,-3.5,49,0,0,Winter,No Holiday
230,1,-3.7,50,0,0,Winter,No Holiday
131,2,-4.3,53,0,0,Winter,No Holiday
99,3,-4.8,52,0,0,Winter,No Holiday
71,4,-5.3,53,0,0,Winter,No Holiday
84,5,-5.8,56,0,0,Winter,No Holiday
158,6,-6,56,0,0,Winter,No Holiday
387,7,-6.5,57,0,0,Winter,No Holiday
780,8,-7,59,0,0,Winter,No Holiday
395,9,-6.7,50,0,0,Winter,No Holiday
261,10,-5.3,44,0,0,Winter,No Holiday
310,11,-3.7,39,0,0,Winter,No Holiday
355,12,-2,30,0,0,Winter,No Holiday
354,13,-1.7,28,0,0,Winter,No Holiday
350,14,-1.3,27,0,0,Winter,No Holiday
362,15,-0.8,26,0,0,Winter,No Holiday
401,16,-1.1,24,0,0,Winter,No Holiday
500,17,-2.4,30,0,0,Winter,No Holiday
752,18,-3.1,33,0,0,Winter,No Holiday
477,19,-3.3,35,0,0,Winter,No Holiday
384,20,-3.3,34,0,0,Winter,No Holiday
336,21,-3.3,35,0,0,Winter,No Holiday
347,22,-3.4,39,0,0,Winter,No Holiday
275,23,-3.5,43,0,0,Winter,No Holiday
267,0,-3.5,48,0,0,Winter,No Holiday
296,1,-4.1,49,0,0,Winter,No Holiday
237,2,-4.7,50,0,0,Winter,No Holiday
169,3,-4.3,47,0,0,Winter,No Holiday
96,4,-4.3,49,0,0,Winter,No Holiday
56,5,-4.7,49,0,0,Winter,No Holiday
76,6,-5.1,53,0,0,Winter,No Holiday
127,7,-5.5,56,0,0,Winter,No Holiday
222,8,-5.4,56,0,0,Winter,No Holiday
291,9,-4.7,48,0,0,Winter,No Holiday
273,10,-2.2,42,0,0,Winter,No Holiday
351,11,0,45,0,0,Winter,No Holiday
427,12,2.4,40,0,0,Winter,No Holiday
431,13,3.9,36,0,0,Winter,No Holiday
486,14,4.7,32,0,0,Winter,No Holiday
569,15,5.2,30,0,0,Winter,No Holiday
546,16,4.4,33,0,0,Winter,No Holiday
481,17,3.5,37,0,0,Winter,No Holiday
384,18,2.5,41,0,0,Winter,No Holiday
275,19,1.5,48,0,0,Winter,No Holiday
298,20,0.8,51,0,0,Winter,No Holiday
321,21,-0.1,55,0,0,Winter,No Holiday
289,22,-0.5,55,0,0,Winter,No Holiday
265,23,-0.1,54,0,0,Winter,No Holiday
326,0,-0.2,55,0,0,Winter,No Holiday
280,1,-0.2,54,0,0,Winter,No Holiday
243,2,0.2,52,0,0,Winter,No Holiday
169,3,0.3,53,0,0,Winter,No Holiday
71,4,0.4,52,0,0,Winter,No Holiday
13,5,0.3,74,0,0.7,Winter,No Holiday
9,6,-0.5,90,2.5,2.7,Winter,No Holiday
20,7,-0.4,92,0,4,Winter,No Holiday
35,8,-0.2,90,0,4.1,Winter,No Holiday
31,9,0.2,90,1.6,4.3,Winter,No Holiday
19,10,0.5,91,0,4.3,Winter,No Holiday
58,11,0.9,92,0,3.9,Winter,No Holiday
119,12,2.3,88,0,3.1,Winter,No Holiday
182,13,3.3,87,0,2.1,Winter,No Holiday
235,14,4.2,85,0,1.4,Winter,No Holiday
180,15,6.7,63,0,1,Winter,No Holiday
214,16,5.4,71,0,0.5,Winter,No Holiday
226,17,3.6,65,0,0.4,Winter,No Holiday
210,18,2,61,0,0,Winter,No Holiday
181,19,1.6,53,0,0,Winter,No Holiday
165,20,0.6,57,0,0,Winter,No Holiday
167,21,0,59,0,0,Winter,No Holiday
152,22,-1,56,0,0,Winter,No Holiday
148,23,-1.4,43,0,0,Winter,No Holiday
125,0,-2.5,39,0,0,Winter,No Holiday
111,1,-3.4,36,0,0,Winter,No Holiday
67,2,-4.2,35,0,0,Winter,No Holiday
45,3,-4.7,38,0,0,Winter,No Holiday
44,4,-5.2,35,0,0,Winter,No Holiday
86,5,-5.6,38,0,0,Winter,No Holiday
136,6,-5.9,39,0,0,Winter,No Holiday
325,7,-6,39,0,0,Winter,No Holiday
653,8,-6,38,0,0,Winter,No Holiday
326,9,-5.9,36,0,0,Winter,No Holiday
212,10,-5.3,32,0,0,Winter,No Holiday
226,11,-4.7,36,0,0,Winter,No Holiday
247,12,-5.2,33,0,0,Winter,No Holiday
241,13,-5.4,32,0,0,Winter,No Holiday
253,14,-5.4,31,0,0,Winter,No Holiday
269,15,-5.5,33,0,0,Winter,No Holiday
277,16,-6,40,0,0,Winter,No Holiday
361,17,-7.1,44,0,0,Winter,No Holiday
557,18,-7.9,43,0,0,Winter,No Holiday
371,19,-8.6,45,0,0,Winter,No Holiday
254,20,-9.3,49,0,0,Winter,No Holiday
266,21,-9.7,51,0,0,Winter,No Holiday
222,22,-10.2,50,0,0,Winter,No Holiday
174,23,-10.7,53,0,0,Winter,No Holiday
133,0,-11,51,0,0,Winter,No Holiday
127,1,-11.2,51,0,0,Winter,No Holiday
95,2,-11.5,50,0,0,Winter,No Holiday
54,3,-11.6,50,0,0,Winter,No Holiday
46,4,-11.6,47,0,0,Winter,No Holiday
65,5,-11.6,45,0,0,Winter,No Holiday
104,6,-11.8,47,0,0,Winter,No Holiday
280,7,-12.1,50,0,0,Winter,No Holiday
580,8,-12.3,52,0,0,Winter,No Holiday
275,9,-11.8,46,0,0,Winter,No Holiday
184,10,-10.5,45,0,0,Winter,No Holiday
201,11,-9.4,42,0,0,Winter,No Holiday
228,12,-8.3,35,0,0,Winter,No Holiday
225,13,-6.9,37,0,0,Winter,No Holiday
258,14,-5.4,32,0,0,Winter,No Holiday
250,15,-5.8,30,0,0,Winter,No Holiday
248,16,-6,29,0,0,Winter,No Holiday
305,17,-7,32,0,0,Winter,No Holiday
529,18,-7.7,36,0,0,Winter,No Holiday
350,19,-8.2,43,0,0,Winter,No Holiday
260,20,-8.4,42,0,0,Winter,No Holiday
270,21,-8.8,43,0,0,Winter,No Holiday
256,22,-9,45,0,0,Winter,No Holiday
173,23,-9.3,47,0,0,Winter,No Holiday
168,0,-9.5,48,0,0,Winter,No Holiday
183,1,-10.2,52,0,0,Winter,No Holiday
120,2,-10.4,53,0,0,Winter,No Holiday
79,3,-10.9,55,0,0,Winter,No Holiday
41,4,-11.4,58,0,0,Winter,No Holiday
68,5,-11.5,58,0,0,Winter,No Holiday
109,6,-11.9,57,0,0,Winter,No Holiday
310,7,-11.7,53,0,0,Winter,No Holiday
591,8,-11.4,47,0,0,Winter,No Holiday
340,9,-11.1,46,0,0,Winter,No Holiday
202,10,-9.5,39,0,0,Winter,No Holiday
251,11,-8.1,35,0,0,Winter,No Holiday
267,12,-6.5,30,0,0,Winter,No Holiday
251,13,-5.8,28,0,0,Winter,No Holiday
240,14,-4.7,27,0,0,Winter,No Holiday
240,15,-4.9,26,0,0,Winter,No Holiday
278,16,-4.5,26,0,0,Winter,No Holiday
392,17,-5.6,29,0,0,Winter,No Holiday
537,18,-6.6,33,0,0,Winter,No Holiday
373,19,-6.6,31,0,0,Winter,No Holiday
263,20,-7.6,35,0,0,Winter,No Holiday
271,21,-8.3,39,0,0,Winter,No Holiday
271,22,-8.9,39,0,0,Winter,No Holiday
174,23,-9.2,44,0,0,Winter,No Holiday
171,0,-9.5,50,0,0,Winter,No Holiday
170,1,-9.8,48,0,0,Winter,No Holiday
107,2,-10.6,44,0,0,Winter,No Holiday
80,3,-10.7,48,0,0,Winter,No Holiday
52,4,-11,50,0,0,Winter,No Holiday
62,5,-10.8,48,0,0,Winter,No Holiday
108,6,-11,55,0,0,Winter,No Holiday
279,7,-10.9,57,0,0,Winter,No Holiday
621,8,-10.4,54,0,0,Winter,No Holiday
305,9,-9.4,44,0,0,Winter,No Holiday
189,10,-7.7,43,0,0,Winter,No Holiday
247,11,-6.1,38,0,0,Winter,No Holiday
278,12,-4.9,34,0,0,Winter,No Holiday
282,13,-3.8,32,0,0,Winter,No Holiday
294,14,-2.7,28,0,0,Winter,No Holiday
301,15,-2.5,29,0,0,Winter,No Holiday
335,16,-2.4,28,0,0,Winter,No Holiday
382,17,-2.9,31,0,0,Winter,No Holiday
612,18,-3.5,35,0,0,Winter,No Holiday
410,19,-4.2,40,0,0,Winter,No Holiday
277,20,-4.8,43,0,0,Winter,No Holiday
316,21,-4.8,45,0,0,Winter,No Holiday
309,22,-4.9,44,0,0,Winter,No Holiday
211,23,-5.6,53,0,0,Winter,No Holiday
227,0,-5.7,53,0,0,Winter,No Holiday
241,1,-6.3,57,0,0,Winter,No Holiday
162,2,-6.8,58,0,0,Winter,No Holiday
110,3,-6.9,56,0,0,Winter,No Holiday
69,4,-7.1,59,0,0,Winter,No Holiday
68,5,-7.5,64,0,0,Winter,No Holiday
129,6,-7.4,64,0,0,Winter,No Holiday
285,7,-7,63,0,0,Winter,No Holiday
658,8,-6.6,64,0,0,Winter,No Holiday
330,9,-5.9,60,0,0,Winter,No Holiday
221,10,-4.6,52,0,0,Winter,No Holiday
279,11,-2.9,46,0,0,Winter,No Holiday
309,12,-2.5,43,0,0,Winter,No Holiday
325,13,-1.6,40,0,0,Winter,No Holiday
329,14,-0.7,39,0,0,Winter,No Holiday
342,15,0.1,35,0,0,Winter,No Holiday
354,16,0,37,0,0,Winter,No Holiday
464,17,-0.2,39,0,0,Winter,No Holiday
682,18,0.1,43,0,0,Winter,No Holiday
451,19,0.6,41,0,0,Winter,No Holiday
320,20,0.9,42,0,0,Winter,No Holiday
300,21,0.7,47,0,0,Winter,No Holiday
296,22,-0.1,49,0,0,Winter,No Holiday
247,23,-1.3,60,0,0,Winter,No Holiday
217,0,-2.6,73,0,0,Winter,No Holiday
302,1,-3.4,76,0,0,Winter,No Holiday
228,2,-4.1,73,0,0,Winter,No Holiday
129,3,-4.5,71,0,0,Winter,No Holiday
80,4,-5,70,0,0,Winter,No Holiday
45,5,-5.6,72,0,0,Winter,No Holiday
66,6,-6.1,69,0,0,Winter,No Holiday
90,7,-6.7,64,0,0,Winter,No Holiday
190,8,-7.3,62,0,0,Winter,No Holiday
195,9,-7.2,47,0,0,Winter,No Holiday
201,10,-6.2,42,0,0,Winter,No Holiday
239,11,-5.2,30,0,0,Winter,No Holiday
252,12,-4.1,28,0,0,Winter,No Holiday
296,13,-3.7,23,0,0,Winter,No Holiday
292,14,-3.4,22,0,0,Winter,No Holiday
291,15,-3.3,22,0,0,Winter,No Holiday
258,16,-3.3,24,0,0,Winter,No Holiday
277,17,-4.6,26,0,0,Winter,No Holiday
212,18,-5.3,28,0,0,Winter,No Holiday
173,19,-6,32,0,0,Winter,No Holiday
143,20,-6.6,37,0,0,Winter,No Holiday
159,21,-7.1,39,0,0,Winter,No Holiday
155,22,-7.6,41,0,0,Winter,No Holiday
142,23,-8,41,0,0,Winter,No Holiday
175,0,-8.1,41,0,0,Winter,No Holiday
146,1,-8.4,40,0,0,Winter,No Holiday
132,2,-8.7,40,0,0,Winter,No Holiday
100,3,-9,40,0,0,Winter,No Holiday
41,4,-9.5,40,0,0,Winter,No Holiday
31,5,-9.7,41,0,0,Winter,No Holiday
39,6,-9.9,42,0,0,Winter,No Holiday
53,7,-10.2,42,0,0,Winter,No Holiday
94,8,-10.7,43,0,0,Winter,No Holiday
122,9,-10.5,38,0,0,Winter,No Holiday
142,10,-8.5,31,0,0,Winter,No Holiday
189,11,-7.2,29,0,0,Winter,No Holiday
216,12,-4.9,25,0,0,Winter,No Holiday
223,13,-4.5,25,0,0,Winter,No Holiday
268,14,-3.2,26,0,0,Winter,No Holiday
278,15,-2.5,28,0,0,Winter,No Holiday
256,16,-2.7,31,0,0,Winter,No Holiday
266,17,-3.8,35,0,0,Winter,No Holiday
204,18,-4.7,37,0,0,Winter,No Holiday
157,19,-5.6,39,0,0,Winter,No Holiday
166,20,-6,42,0,0,Winter,No Holiday
168,21,-6.5,45,0,0,Winter,No Holiday
172,22,-6.6,50,0,0,Winter,No Holiday
138,23,-6.9,53,0,0,Winter,No Holiday
151,0,-5.9,50,0,0,Winter,No Holiday
97,1,-5.3,48,0,0,Winter,No Holiday
38,2,-5,65,0,0.2,Winter,No Holiday
32,3,-5.3,76,0.3,0.5,Winter,No Holiday
29,4,-5.4,81,0,0.7,Winter,No Holiday
27,5,-5.3,81,0,0.8,Winter,No Holiday
45,6,-5.2,85,0.4,1.3,Winter,No Holiday
96,7,-5,85,0,1.8,Winter,No Holiday
146,8,-4.6,86,0,2,Winter,No Holiday
52,9,-4.3,89,1.6,4,Winter,No Holiday
36,10,-3.7,87,0,4.8,Winter,No Holiday
44,11,-2.9,85,0,4.8,Winter,No Holiday
62,12,-1.8,83,1.1,5.1,Winter,No Holiday
76,13,-0.9,84,0,5,Winter,No Holiday
116,14,0.5,76,0,4.2,Winter,No Holiday
137,15,1.6,73,0,3.2,Winter,No Holiday
181,16,1.8,76,0,2.7,Winter,No Holiday
175,17,0.4,84,0,2.7,Winter,No Holiday
281,18,0,88,0,2.7,Winter,No Holiday
198,19,1.3,65,0,2.7,Winter,No Holiday
165,20,3.3,65,0,2.7,Winter,No Holiday
148,21,2.8,73,0,2.6,Winter,No Holiday
160,22,1.5,82,0,2.6,Winter,No Holiday
128,23,0.1,81,0,2.6,Winter,No Holiday
122,0,-1,73,0,2.6,Winter,No Holiday
122,1,-2,72,0,2.6,Winter,No Holiday
93,2,-2.7,72,0,2.6,Winter,No Holiday
55,3,-2.8,58,0,2.6,Winter,No Holiday
39,4,-2.9,59,0,2.6,Winter,No Holiday
55,5,-3.9,66,0,2.6,Winter,No Holiday
78,6,-4.3,70,0,2.6,Winter,No Holiday
165,7,-4.4,64,0,2.6,Winter,No Holiday
390,8,-5.2,58,0,2.5,Winter,No Holiday
199,9,-5.3,48,0,2.5,Winter,No Holiday
151,10,-4.6,41,0,2.5,Winter,No Holiday
174,11,-3.5,35,0,2.5,Winter,No Holiday
191,12,-2.5,31,0,2.3,Winter,No Holiday
189,13,-2.2,25,0,2.2,Winter,No Holiday
178,14,-2.2,23,0,2.2,Winter,No Holiday
195,15,-1.3,26,0,2.1,Winter,No Holiday
211,16,-1.8,31,0,2,Winter,No Holiday
256,17,-2.7,35,0,2,Winter,No Holiday
384,18,-3.8,42,0,2,Winter,No Holiday
276,19,-4.5,51,0,2,Winter,No Holiday
225,20,-4.9,55,0,2,Winter,No Holiday
224,21,-5,57,0,2,Winter,No Holiday
213,22,-5.5,56,0,2,Winter,No Holiday
149,23,-5.8,57,0,2,Winter,No Holiday
142,0,-6.5,63,0,2,Winter,No Holiday
172,1,-7.3,67,0,2,Winter,No Holiday
108,2,-7.8,68,0,2,Winter,No Holiday
71,3,-8.1,70,0,2,Winter,No Holiday
38,4,-8.5,73,0,2,Winter,No Holiday
56,5,-8.3,67,0,2,Winter,No Holiday
97,6,-8.2,66,0,2,Winter,No Holiday
213,7,-8.1,67,0,2,Winter,No Holiday
466,8,-7.8,65,0,2,Winter,No Holiday
239,9,-6.7,62,0,2,Winter,No Holiday
162,10,-5.4,56,0,2,Winter,No Holiday
204,11,-4.2,51,0,1.9,Winter,No Holiday
209,12,-3.2,49,0,1.9,Winter,No Holiday
228,13,-1.3,43,0,1.7,Winter,No Holiday
243,14,-0.5,44,0,1.7,Winter,No Holiday
240,15,-0.2,45,0,1.6,Winter,No Holiday
225,16,-0.5,48,0,1.6,Winter,No Holiday
237,17,-0.9,70,0,2.2,Winter,No Holiday
329,18,-1.4,79,0.1,2.2,Winter,No Holiday
190,19,-1.5,81,0,2.2,Winter,No Holiday
165,20,-1.9,86,0,2.4,Winter,No Holiday
197,21,-2,83,0.1,2.4,Winter,No Holiday
184,22,-1.6,82,0,2.3,Winter,No Holiday
153,23,-1.1,87,0,2.2,Winter,No Holiday
166,0,-1.3,90,0,2.2,Winter,No Holiday
