record_number,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,reason
3146,0,0,14.4,82,0,0,Spring,No Holiday,No,Functioning Day:category
3147,0,1,13.6,81,0,0,Spring,No Holiday,No,Functioning Day:category
3148,0,2,12.7,80,0,0,Spring,No Holiday,No,Functioning Day:category
3149,0,3,11.6,81,0,0,Spring,No Holiday,No,Functioning Day:category
3150,0,4,10.2,83,0,0,Spring,No Holiday,No,Functioning Day:category
3151,0,5,9.7,84,0,0,Spring,No Holiday,No,Functioning Day:category
3152,0,6,9,86,0,0,Spring,No Holiday,No,Functioning Day:category
3153,0,7,8.8,85,0,0,Spring,No Holiday,No,Functioning Day:category
3154,0,8,9.7,77,0,0,Spring,No Holiday,No,Functioning Day:category
3155,0,9,11.8,59,0,0,Spring,No Holiday,No,Functioning Day:category
3156,0,10,13.3,51,0,0,Spring,No Holiday,No,Functioning Day:category
3157,0,11,14.9,44,0,0,Spring,No Holiday,No,Functioning Day:category
3158,0,12,15.7,46,0,0,Spring,No Holiday,No,Functioning Day:category
3159,0,13,15.6,38,0,0,Spring,No Holiday,No,Functioning Day:category
3160,0,14,16.4,28,0,0,Spring,No Holiday,No,Functioning Day:category
3161,0,15,17,28,0,0,Spring,No Holiday,No,Functioning Day:category
3162,0,16,16.9,23,0,0,Spring,No Holiday,No,Functioning Day:category
3163,0,17,16.2,22,0,0,Spring,No Holiday,No,Functioning Day:category
3164,0,18,15.2,21,0,0,Spring,No Holiday,No,Functioning Day:category
3165,0,19,13.2,28,0,0,Spring,No Holiday,No,Functioning Day:category
3166,0,20,11.9,33,0,0,Spring,No Holiday,No,Functioning Day:category
3167,0,21,11,34,0,0,Spring,No Holiday,No,Functioning Day:category
3168,0,22,10.3,42,0,0,Spring,No Holiday,No,Functioning Day:category
3169,0,23,9.7,45,0,0,Spring,No Holiday,No,Functioning Day:category
3842,0,0,14.5,63,0,0,Spring,No Holiday,No,Functioning Day:category
3843,0,1,13.9,66,0,0,Spring,No Holiday,No,Functioning Day:category
3844,0,2,13.1,73,0,0,Spring,No Holiday,No,Functioning Day:category
3845,0,3,12.9,74,0,0,Spring,No Holiday,No,Functioning Day:category
3846,0,4,12,79,0,0,Spring,No Holiday,No,Functioning Day:category
3847,0,5,11.5,80,0,0,Spring,No Holiday,No,Functioning Day:category
3848,0,6,11.4,80,0,0,Spring,No Holiday,No,Functioning Day:category
3849,0,7,12.1,71,0,0,Spring,No Holiday,No,Functioning Day:category
3850,0,8,13.5,63,0,0,Spring,No Holiday,No,Functioning Day:category
3851,0,9,15.5,55,0,0,Spring,No Holiday,No,Functioning Day:category
3852,0,10,17.3,52,0,0,Spring,No Holiday,No,Functioning Day:category
3853,0,11,18.3,51,0,0,Spring,No Holiday,No,Functioning Day:category
3854,0,12,19.8,49,0,0,Spring,No Holiday,No,Functioning Day:category
3855,0,13,20.7,46,0,0,Spring,No Holiday,No,Functioning Day:category
3856,0,14,21.2,47,0,0,Spring,No Holiday,No,Functioning Day:category
3857,0,15,20.4,51,0,0,Spring,No Holiday,No,Functioning Day:category
3858,0,16,19.6,54,0,0,Spring,No Holiday,No,Functioning Day:category
3859,0,17,19.2,54,0,0,Spring,No Holiday,No,Functioning Day:category
3860,0,18,18,61,0,0,Spring,No Holiday,No,Functioning Day:category
3861,0,19,15.5,74,0,0,Spring,No Holiday,No,Functioning Day:category
3862,0,20,13.6,82,0,0,Spring,No Holiday,No,Functioning Day:category
3863,0,21,12.6,85,0,0,Spring,No Holiday,No,Functioning Day:category
3864,0,22,12.3,85,0,0,Spring,No Holiday,No,Functioning Day:category
